"Id","ProcessName","Path","StartTime"
"2032","vm3dservice","C:\Program Files\VMware\VMware Tools\vm3dservice.exe","3/2/2026 2:37:34 AM"
"3128","vm3dservice","C:\Program Files\VMware\VMware Tools\vm3dservice.exe","3/2/2026 2:37:34 AM"
"3804","vmcompute","C:\Windows\system32\vmcompute.exe","3/2/2026 2:37:35 AM"
"1468","vmms","C:\Windows\system32\vmms.exe","3/2/2026 2:37:34 AM"
"2336","vmtoolsd","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","3/2/2026 2:37:34 AM"
"6172","vmtoolsd","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","3/2/2026 2:38:31 AM"
"4444","vmwp","C:\Windows\System32\vmwp.exe","3/2/2026 2:37:40 AM"
"536","wininit",,"3/2/2026 2:37:12 AM"
"600","winlogon","C:\Windows\system32\winlogon.exe","3/2/2026 2:37:12 AM"
"3568","WmiPrvSE","C:\Windows\system32\wbem\wmiprvse.exe","3/2/2026 2:37:34 AM"
"1952","wsmprovhost","C:\Windows\system32\wsmprovhost.exe","3/2/2026 6:02:46 AM"
"3480","wsmprovhost","C:\Windows\system32\wsmprovhost.exe","3/2/2026 7:34:12 AM"
"3564","wsmprovhost","C:\Windows\system32\wsmprovhost.exe","3/2/2026 7:29:14 AM"
