TimeCreated,EventID,Provider,Computer,Channel,EventData
2025-06-08T19:29:06.985649Z,4602,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": [""F6B08333-823D-4BAA-B870-B7A875756FC4"", ""C:\\Windows\\SYSVOL\\domain"", ""SYSVOL Share"", ""Domain System Volume"", ""DF878E87-D7A9-4212-8588-8A87039A4451"", ""4E666036-EB9F-4D54-A780-3646E069FE74"", """", ""0""]}, ""Binary"": null}"
2025-06-08T20:01:22.251235Z,1006,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T20:02:41.611940Z,1002,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T20:02:41.627345Z,1004,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T20:02:41.674479Z,1314,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""C:\\Windows\\debug""}, ""Binary"": null}"
2025-06-08T20:02:45.830508Z,6102,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T20:02:54.895624Z,1202,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ["""", ""60"", ""160"", ""One or more arguments are not correct.""]}, ""Binary"": null}"
2025-06-08T20:07:55.046975Z,1206,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""DC01.pirate.htb""}, ""Binary"": null}"
2025-06-08T20:07:55.071866Z,1210,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""0""}, ""Binary"": null}"
2025-06-08T20:12:00.691657Z,1006,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T20:12:42.661993Z,1002,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T20:12:42.693270Z,1004,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T20:12:42.740231Z,1314,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""C:\\Windows\\debug""}, ""Binary"": null}"
2025-06-08T20:12:44.052724Z,6102,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T20:12:50.319018Z,1006,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T20:12:50.333882Z,1202,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ["""", ""60"", ""1726"", ""The remote procedure call failed.""]}, ""Binary"": null}"
2025-06-08T20:12:50.349511Z,1008,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T20:13:34.157971Z,1002,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T20:13:34.173940Z,1004,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T20:13:34.236077Z,1314,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""C:\\Windows\\debug""}, ""Binary"": null}"
2025-06-08T20:13:35.581784Z,6102,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T20:13:46.379894Z,1202,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ["""", ""60"", ""160"", ""One or more arguments are not correct.""]}, ""Binary"": null}"
2025-06-08T20:18:46.702209Z,1206,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""DC01.pirate.htb""}, ""Binary"": null}"
2025-06-08T20:18:46.731644Z,1210,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""0""}, ""Binary"": null}"
2025-06-08T20:51:03.593570Z,1006,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T20:51:04.040947Z,1008,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T20:51:04.627443Z,1002,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T20:51:04.627443Z,1004,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T20:51:04.642599Z,1314,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""C:\\Windows\\debug""}, ""Binary"": null}"
2025-06-08T20:51:06.020803Z,6102,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T20:51:07.037123Z,1206,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""DC01.pirate.htb""}, ""Binary"": null}"
2025-06-08T20:51:07.068271Z,1210,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": ""0""}, ""Binary"": null}"
2025-06-08T20:51:07.146367Z,4602,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": [""F6B08333-823D-4BAA-B870-B7A875756FC4"", ""C:\\Windows\\SYSVOL\\domain"", ""SYSVOL Share"", ""Domain System Volume"", ""DF878E87-D7A9-4212-8588-8A87039A4451"", ""4E666036-EB9F-4D54-A780-3646E069FE74"", """", ""0""]}, ""Binary"": null}"
2025-06-08T21:30:40.451411Z,1006,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
2025-06-08T21:30:41.357276Z,1008,DFSR,DC01.pirate.htb,DFS Replication,"{""Data"": {""#text"": """"}, ""Binary"": null}"
