TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,Binary,Name,VirtualizationID,attributes_Name,param1,param2,param3,param4
2026-09-02T04:23:29.351778Z,4,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,409,4,,DNS_EVENT_ZONE_LOAD_COMPLETE,,,,,,
2026-09-02T04:24:04.816776Z,3,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,410,4,,DNS_EVENT_SHUTDOWN,,,,,,
2026-09-02T04:44:00.147656Z,7693,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,411,4,,,,DNS_EVENT_SCOPE_EDNS_OPCODE_SET,65433,,,
2026-09-02T04:44:06.587039Z,4013,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,412,3,,DNS_EVENT_DS_OPEN_WAIT,,,,,,
2026-09-02T04:44:29.706141Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,413,4,,,.,DNS_EVENT_ZONE_LOAD_OK,_msdcs.scaffold.htb,NULL,dc.scaffold.htb,
2026-09-02T04:44:29.711594Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,414,4,,,.,DNS_EVENT_ZONE_LOAD_OK,scaffold.htb,NULL,dc.scaffold.htb,
2026-09-02T04:44:29.713688Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,415,4,,,.,DNS_EVENT_ZONE_LOAD_OK,TrustAnchors,NULL,dc.scaffold.htb,
2026-09-02T04:44:29.933652Z,2,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,416,4,,DNS_EVENT_STARTUP_OK,,,,,,
2026-09-02T04:44:30.234012Z,4,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,417,4,,DNS_EVENT_ZONE_LOAD_COMPLETE,,,,,,
2026-09-02T04:46:22.566437Z,3,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,418,4,,DNS_EVENT_SHUTDOWN,,,,,,
2026-09-02T04:54:44.147936Z,7693,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,419,4,,,,DNS_EVENT_SCOPE_EDNS_OPCODE_SET,65433,,,
2026-09-02T04:54:54.200169Z,4013,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,420,3,,DNS_EVENT_DS_OPEN_WAIT,,,,,,
2026-09-02T04:55:12.951734Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,421,4,,,.,DNS_EVENT_ZONE_LOAD_OK,_msdcs.scaffold.htb,NULL,dc.scaffold.htb,
2026-09-02T04:55:12.964498Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,422,4,,,.,DNS_EVENT_ZONE_LOAD_OK,scaffold.htb,NULL,dc.scaffold.htb,
2026-09-02T04:55:12.966390Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,423,4,,,.,DNS_EVENT_ZONE_LOAD_OK,TrustAnchors,NULL,dc.scaffold.htb,
2026-09-02T04:55:13.425329Z,2,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,424,4,,DNS_EVENT_STARTUP_OK,,,,,,
2026-09-02T04:55:13.833169Z,4,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,425,4,,DNS_EVENT_ZONE_LOAD_COMPLETE,,,,,,
2026-09-02T04:55:47.814009Z,3,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,426,4,,DNS_EVENT_SHUTDOWN,,,,,,
2026-09-02T05:42:25.768191Z,7693,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,427,4,,,,DNS_EVENT_SCOPE_EDNS_OPCODE_SET,65433,,,
2026-09-02T05:42:32.459871Z,4013,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,428,3,,DNS_EVENT_DS_OPEN_WAIT,,,,,,
2026-09-02T05:42:55.095336Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,429,4,,,.,DNS_EVENT_ZONE_LOAD_OK,_msdcs.scaffold.htb,NULL,dc.scaffold.htb,
2026-09-02T05:42:55.102154Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,430,4,,,.,DNS_EVENT_ZONE_LOAD_OK,scaffold.htb,NULL,dc.scaffold.htb,
2026-09-02T05:42:55.105065Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,431,4,,,.,DNS_EVENT_ZONE_LOAD_OK,TrustAnchors,NULL,dc.scaffold.htb,
2026-09-02T05:42:55.923223Z,2,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,432,4,,DNS_EVENT_STARTUP_OK,,,,,,
2026-09-02T05:42:56.005531Z,4,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,433,4,,DNS_EVENT_ZONE_LOAD_COMPLETE,,,,,,
2026-09-02T06:00:40.901428Z,3,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,434,4,,DNS_EVENT_SHUTDOWN,,,,,,
2026-09-08T02:18:01.626106Z,7693,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,435,4,,,,DNS_EVENT_SCOPE_EDNS_OPCODE_SET,65433,,,
2026-09-08T02:18:09.987920Z,4013,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,436,3,,DNS_EVENT_DS_OPEN_WAIT,,,,,,
2026-09-08T02:18:30.665963Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,437,4,,,.,DNS_EVENT_ZONE_LOAD_OK,_msdcs.scaffold.htb,NULL,dc.scaffold.htb,
2026-09-08T02:18:30.679716Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,438,4,,,.,DNS_EVENT_ZONE_LOAD_OK,scaffold.htb,NULL,dc.scaffold.htb,
2026-09-08T02:18:30.681626Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,439,4,,,.,DNS_EVENT_ZONE_LOAD_OK,TrustAnchors,NULL,dc.scaffold.htb,
2026-09-08T02:18:31.164537Z,2,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,440,4,,DNS_EVENT_STARTUP_OK,,,,,,
2026-09-08T02:18:31.537666Z,4,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,441,4,,DNS_EVENT_ZONE_LOAD_COMPLETE,,,,,,
2026-09-08T03:00:49.180237Z,3,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,442,4,,DNS_EVENT_SHUTDOWN,,,,,,
2026-09-08T04:34:40.155933Z,7693,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,443,4,,,,DNS_EVENT_SCOPE_EDNS_OPCODE_SET,65433,,,
2026-09-08T04:34:49.218045Z,4013,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,444,3,,DNS_EVENT_DS_OPEN_WAIT,,,,,,
2026-09-08T04:35:09.133672Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,445,4,,,.,DNS_EVENT_ZONE_LOAD_OK,_msdcs.scaffold.htb,NULL,dc.scaffold.htb,
2026-09-08T04:35:09.140650Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,446,4,,,.,DNS_EVENT_ZONE_LOAD_OK,scaffold.htb,NULL,dc.scaffold.htb,
2026-09-08T04:35:09.142833Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,447,4,,,.,DNS_EVENT_ZONE_LOAD_OK,TrustAnchors,NULL,dc.scaffold.htb,
2026-09-08T04:35:09.561615Z,2,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,448,4,,DNS_EVENT_STARTUP_OK,,,,,,
2026-09-08T04:35:09.935458Z,4,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,449,4,,DNS_EVENT_ZONE_LOAD_COMPLETE,,,,,,
2026-09-08T04:38:15.069233Z,3,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,450,4,,DNS_EVENT_SHUTDOWN,,,,,,
2026-09-20T11:19:09.453601Z,7693,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,451,4,,,,DNS_EVENT_SCOPE_EDNS_OPCODE_SET,65433,,,
2026-09-20T11:19:17.015012Z,4013,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,452,3,,DNS_EVENT_DS_OPEN_WAIT,,,,,,
2026-09-20T11:19:54.932758Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,453,4,,,.,DNS_EVENT_ZONE_LOAD_OK,_msdcs.scaffold.htb,NULL,dc.scaffold.htb,
2026-09-20T11:19:54.938116Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,454,4,,,.,DNS_EVENT_ZONE_LOAD_OK,scaffold.htb,NULL,dc.scaffold.htb,
2026-09-20T11:19:54.939617Z,769,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,455,4,,,.,DNS_EVENT_ZONE_LOAD_OK,TrustAnchors,NULL,dc.scaffold.htb,
2026-09-20T11:19:55.171010Z,2,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,456,4,,DNS_EVENT_STARTUP_OK,,,,,,
2026-09-20T11:19:55.458111Z,4,dc.scaffold.htb,Microsoft-Windows-DNS-Server-Service,DNS Server,457,4,,DNS_EVENT_ZONE_LOAD_COMPLETE,,,,,,
