TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,AdditionalErrorMessage,AppType,AppVersion,Binary,CACertIdentifier,CACommonName,CAKeyIdentifier,DCName,DCSpecifier,DN,Data_text,Data_text_0,Data_text_1,Data_text_10,Data_text_11,Data_text_12,Data_text_13,Data_text_14,Data_text_15,Data_text_16,Data_text_17,Data_text_18,Data_text_19,Data_text_2,Data_text_20,Data_text_21,Data_text_22,Data_text_3,Data_text_4,Data_text_5,Data_text_6,Data_text_7,Data_text_8,Data_text_9,DisplayName,ErrorCode,ErrorMessageText,ErrorString,FullPath,LDAPPath,Library,MethodName,Name,Pid,PolicyModuleDescription,Reason,RequestId,RmSessionId,Status,TSSessionId,URL,UTCStartTime,User,Version,Win32Error,attributes_Name,attributes_xmlns,binaryData,binaryDataSize,param1,param10,param11,param12,param2,param3,param4,param5,param6,param7,param8,param9
2026-09-02T04:23:26.076175Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 26022}",dc.scaffold.htb,MSSQL$SQLEXPRESS,Application,10605,4,,,,A66500000A0000000E000000440043005C00530051004C004500580050005200450053005300000000000000,,,,,,,,'any',ipv6,,,,,,,,,,,52951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:26.076175Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 26022}",dc.scaffold.htb,MSSQL$SQLEXPRESS,Application,10606,4,,,,A66500000A0000000E000000440043005C00530051004C004500580050005200450053005300000000000000,,,,,,,,'any',ipv4,,,,,,,,,,,52951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:26.076175Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 26048}",dc.scaffold.htb,MSSQL$SQLEXPRESS,Application,10607,4,,,,C06500000A0000000E000000440043005C00530051004C004500580050005200450053005300000000000000,,,,,,,\\.\pipe\SQLLocal\SQLEXPRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:26.076175Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 26048}",dc.scaffold.htb,MSSQL$SQLEXPRESS,Application,10608,4,,,,C06500000A0000000E000000440043005C00530051004C004500580050005200450053005300000000000000,,,,,,,\\.\pipe\MSSQL$SQLEXPRESS\sql\query,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:26.076175Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 17199}",dc.scaffold.htb,MSSQL$SQLEXPRESS,Application,10609,4,,,,2F4300000A0000000E000000440043005C00530051004C004500580050005200450053005300000000000000,,,,,,,7806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:26.091803Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 17126}",dc.scaffold.htb,MSSQL$SQLEXPRESS,Application,10610,4,,,,E64200000A0000000E000000440043005C00530051004C004500580050005200450053005300000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:26.091803Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 26076}",dc.scaffold.htb,MSSQL$SQLEXPRESS,Application,10611,4,,,,DC6500000A0000000E000000440043005C00530051004C004500580050005200450053005300000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:26.107424Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 26067}",dc.scaffold.htb,MSSQL$SQLEXPRESS,Application,10612,4,,,,D36500000A0000000E000000440043005C00530051004C004500580050005200450053005300000000000000,,,,,,,,MSSQLSvc/dc.scaffold.htb:SQLEXPRESS,0x54b,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:26.107424Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 26067}",dc.scaffold.htb,MSSQL$SQLEXPRESS,Application,10613,4,,,,D36500000A0000000E000000440043005C00530051004C004500580050005200450053005300000000000000,,,,,,,,MSSQLSvc/dc.scaffold.htb:52951,0x54b,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-02T04:23:26.123056Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 17136}",dc.scaffold.htb,MSSQL$SQLEXPRESS,Application,10614,4,,,,F04200000A0000000E000000440043005C00530051004C0045005800500052004500530053000000070000006D00610073007400650072000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
