TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,Binary,Data_text,Data_text_0,Data_text_1,Data_text_10,Data_text_11,Data_text_2,Data_text_3,Data_text_4,Data_text_5,Data_text_6,Data_text_7,Data_text_8,Data_text_9
2026-09-08T04:38:14.840932Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2179}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1307,4,,17012706603650086736,,,,,,,,,,,,
2026-09-08T04:38:15.325307Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1004}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1308,4,,,,,,,,,,,,,,
2026-09-20T11:18:58.797765Z,"{'#attributes': {'Qualifiers': 32768}, '#text': 3051}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1309,3,,,,,,,,,,,,,,
2026-09-20T11:18:58.797765Z,"{'#attributes': {'Qualifiers': 32768}, '#text': 3054}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1310,3,,,,,,,,,,,,,,
2026-09-20T11:18:58.969637Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2121}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1311,4,,,,,,,,,,,,,,
2026-09-20T11:18:58.969637Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2406}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1312,4,,Recycle Bin Feature,,,,,,,,,,,,
2026-09-20T11:18:58.969637Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2406}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1313,4,,Privileged Access Management Feature,,,,,,,,,,,,
2026-09-20T11:18:58.969637Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2168}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1314,4,,12208309084313324016,,,,,,,,,,,,
2026-09-20T11:18:58.969637Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2172}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1315,4,,17012706603650086736,,,,,,,,,,,,
2026-09-20T11:18:58.969637Z,"{'#attributes': {'Qualifiers': 32768}, '#text': 2170}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1316,3,,,17012706603650086736,12208309084313324016,,,,,,,,,,
2026-09-20T11:18:58.969637Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1109}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1317,4,,,7fddf423-4e9b-413b-a2fd-434f1111a42c,2fdbe714-b22d-4ca2-8263-bdf7b53e5e22,,,237624,,,,,,,
2026-09-20T11:18:58.985261Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2208}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1318,4,,,,,,,,,,,,,,
2026-09-20T11:18:58.985261Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2179}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1319,4,,12208309084313324016,,,,,,,,,,,,
2026-09-20T11:18:58.985261Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2120}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1320,4,,,,,,,,,,,,,,
2026-09-20T11:18:58.985261Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2405}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1321,4,,Recycle Bin Feature,,,,,,,,,,,,
2026-09-20T11:18:58.985261Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 2405}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1322,4,,Privileged Access Management Feature,,,,,,,,,,,,
2026-09-20T11:19:09.000895Z,"{'#attributes': {'Qualifiers': 32768}, '#text': 2886}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1323,3,,,,,,,,,,,,,,
2026-09-20T11:19:09.000895Z,"{'#attributes': {'Qualifiers': 32768}, '#text': 3041}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1324,3,,,,,,,,,,,,,,
2026-09-20T11:19:09.000895Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1000}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1325,4,,,,,,,,,,,,,,
2026-09-20T11:19:39.000887Z,"{'#attributes': {'Qualifiers': 16384}, '#text': 1394}",dc.scaffold.htb,Microsoft-Windows-ActiveDirectory_DomainService,Directory Service,1326,4,,,,,,,,,,,,,,
2026-09-20T11:34:09.048102Z,"{'#attributes': {'Qualifiers': 0}, '#text': 102}",dc.scaffold.htb,NTDS ISAM,Directory Service,1327,4,,,NTDS,"692,P,98",,,NTDSA: ,0,10,00,20348,0000,,
2026-09-20T11:34:09.048102Z,"{'#attributes': {'Qualifiers': 0}, '#text': 105}",dc.scaffold.htb,NTDS ISAM,Directory Service,1328,4,,,NTDS,"692,D,0",,,NTDSA: ,0,0,"
[1] 0.000502 +J(0) +M(C:0K, Fs:83, WS:312K # 0K, PF:2424K # 0K, P:2424K)
[2] 0.000318 +J(0) +M(C:16K, Fs:130, WS:508K # 288K, PF:1180K # 656K, P:1180K)
[3] 0.000064 +J(0) +M(C:0K, Fs:5, WS:20K # 20K, PF:64K # 64K, P:64K)
[4] 0.002937 -0.000307 (1) WT +J(0) +M(C:0K, Fs:124, WS:416K # 416K, PF:5184K # 5184K, P:5184K)
[5] 0.000312 +J(0) +M(C:0K, Fs:3, WS:12K # 12K, PF:4K # 4K, P:4K)
[6] 0.001953 +J(0) +M(C:0K, Fs:20, WS:80K # 80K, PF:12K # 12K, P:12K)
[7] 0.013480 -0.007888 (21) WT +J(0) +M(C:0K, Fs:2579, WS:10296K # 10296K, PF:10260K # 10260K, P:10260K)
[8] -
[9] -
[10] -
[11] -
[12] -
[13] 0.011756 -0.005821 (22) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:616/1) +M(C:0K, Fs:9, WS:-10216K # 24K, PF:-10252K # 12K, P:-10252K)
[14] 0.000019 +J(0)
[15] 0.000177 +J(0) +M(C:0K, Fs:206, WS:820K # 0K, PF:68K # 0K, P:68K)
[16] 0.000271 -0.000132 (1) WT +J(0) +M(C:0K, Fs:4, WS:8K # 0K, PF:4K # 0K, P:4K).",,,,
2026-09-20T11:34:09.048102Z,"{'#attributes': {'Qualifiers': 0}, '#text': 330}",dc.scaffold.htb,NTDS ISAM,Directory Service,1329,4,,,NTDS,"692,D,50",,,NTDSA: ,C:\Windows\NTDS\ntds.dit,0x22D8 (8920),8920 (0x22d8),9360 (0x2490),,,
2026-09-20T11:34:09.048102Z,"{'#attributes': {'Qualifiers': 0}, '#text': 326}",dc.scaffold.htb,NTDS ISAM,Directory Service,1330,4,,,NTDS,"692,D,50",,,NTDSA: ,1,C:\Windows\NTDS\ntds.dit,0,"
[1] 0.000006 +J(0) +M(C:0K, Fs:1, WS:4K # 0K, PF:0K # 0K, P:0K)
[2] 0.000387 -0.000265 (1) WT +J(0) +M(C:0K, Fs:19, WS:12K # 0K, PF:8K # 0K, P:8K)
[3] 0.002852 -0.001447 (6) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:3480/2) +M(C:0K, Fs:17, WS:60K # 0K, PF:128K # 0K, P:128K)
[4] 0.000050 +J(0)
[5] -
[6] -
[7] -
[8] 0.000757 -0.000322 (2) CM -0.000269 (2) WT +J(CM:2, PgRf:2, Rd:4/2, Dy:0/0, Lg:0/0) +M(C:16K, Fs:43, WS:164K # 0K, PF:212K # 0K, P:212K)
[9] 0.018308 -0.017896 (9) CM -0.001277 (9) WT +J(CM:9, PgRf:24, Rd:0/9, Dy:0/0, Lg:0/0) +M(C:-8K, Fs:31, WS:104K # 0K, PF:196K # 0K, P:196K)
[10] 0.001072 -0.000760 (4) CM -0.000576 (4) WT +J(CM:4, PgRf:40, Rd:0/4, Dy:0/0, Lg:0/0) +M(C:-4K, Fs:6, WS:12K # 0K, PF:60K # 0K, P:60K)
[11] 0.000034 +J(CM:0, PgRf:1, Rd:0/0, Dy:0/0, Lg:0/0) +M(C:0K, Fs:4, WS:16K # 0K, PF:0K # 0K, P:0K)
[12] 0.000045 +J(CM:0, PgRf:48, Rd:0/0, Dy:0/0, Lg:0/0) +M(C:0K, Fs:2, WS:8K # 0K, PF:0K # 0K, P:0K)
[13] 0.0 +J(0)
[14] 0.0 +J(0)
[15] 0.000003 +J(CM:0, PgRf:1, Rd:0/0, Dy:0/0, Lg:0/0).",0 0,"lgposAttach = 00000003:037C:0268,
dbv = 1568.20.0 (8920)",
