"No.","Time","Source","Destination","Protocol","Length","Info"
"17203","1044.092926","fe80::2068:fe84:5fc8:efb7","fe80::3340:25bd:64b:dcf3","LLMNR","126","Standard query response 0x1b8a A Forela-Wkstn001 A 172.17.79.135"
"17204","1044.093240","fe80::2068:fe84:5fc8:efb7","fe80::3340:25bd:64b:dcf3","MDNS","111","Standard query response 0x0000 A 172.17.79.135"
"17206","1044.095460","172.17.79.135","172.17.79.129","LLMNR","106","Standard query response 0x1b8a A Forela-Wkstn001 A 172.17.79.135"
"17230","1046.272597","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 34546  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=495071374 TSecr=0 WS=128"
"17235","1049.344807","fe80::2068:fe84:5fc8:efb7","fe80::3340:25bd:64b:dcf3","ICMPv6","86","Neighbor Solicitation for fe80::3340:25bd:64b:dcf3 from 00:0c:29:36:18:82"
"17237","1049.345118","fe80::3340:25bd:64b:dcf3","fe80::2068:fe84:5fc8:efb7","ICMPv6","86","Neighbor Advertisement fe80::3340:25bd:64b:dcf3 (sol, ovr) is at 00:0c:29:9e:0d:ac"
"17245","1054.039342","fe80::3340:25bd:64b:dcf3","fe80::2068:fe84:5fc8:efb7","ICMPv6","86","Neighbor Solicitation for fe80::2068:fe84:5fc8:efb7 from 00:0c:29:9e:0d:ac"
"17246","1054.039556","fe80::2068:fe84:5fc8:efb7","fe80::3340:25bd:64b:dcf3","ICMPv6","78","Neighbor Advertisement fe80::2068:fe84:5fc8:efb7 (sol)"
"17483","1124.512441","172.17.79.135","172.17.79.136","TCP","74","56566  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=495149612 TSecr=0 WS=128"
"17487","1125.537949","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 56566  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=495150638 TSecr=0 WS=128"
"17490","1126.561975","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 56566  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=495151662 TSecr=0 WS=128"
"17492","1127.586206","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 56566  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=495152686 TSecr=0 WS=128"
"17494","1128.610414","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 56566  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=495153710 TSecr=0 WS=128"
"17498","1129.634008","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 56566  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=495154734 TSecr=0 WS=128"
"17509","1131.650207","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 56566  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=495156750 TSecr=0 WS=128"
"17531","1135.874335","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 56566  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=495160974 TSecr=0 WS=128"
"17536","1144.070679","172.17.79.135","172.17.79.136","TCP","74","[TCP Retransmission] 56566  >  445 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=495169170 TSecr=0 WS=128"
"20162","1185.427195","172.17.79.135","224.0.0.22","IGMPv3","62","Membership Report / Leave group 224.0.0.252 / Leave group 224.0.0.251"
